Question,Answer
"If an employee has an injury, is hospitalized and dies 10 days after the accidents do we count the 10 days prior to the death as lost work days?",No. Days away from work are not counted fatal injuries.
"If an employee has an object in his eye that is NOT embedded, but the medic chooses to remove it with a magnet instead of a cotton swab. Is this injury recordable?","The injury is recordable. Use of a magnet to remove an object from the eye is medical treatment, it is not included on the first aid list."
"If an employee has arrived in the parking lot of our facility but has not clocked or signed in, and they trip and fall going from the automobile to the clock-in location and breaks a leg, is this recordable?","Yes, this is a recordable case. The parking lot is considered part of the establishment and thus the work environment. Punching in/out on a time clock does not determine work relatedness."
"If an employee has been released by the doctor to ""light duty"", however, the employer cannot accommodate the restrictions (has no place for the employee to work) - is that recorded as ""days away"" or ""restricted days"" on the OSHA log?","You must count the days as days away from work. To count days as restricted days, restricted work activity must be made available to the employee."
"If an employee has been released for light duty, but we don't have any light duty available, do I record this as restricted duty or days off?","You must count the days as days away from work. To count days as restricted days, restricted work activity must be made available to the employee."
"If an employee has both lost time and restricted duty, does the cap mean a total of both categories or 180 days for each category separately?",You may cap the day count when a combination of the two categories reaches 180 days.
"If an employee has days away from work that span one year to the next (e.g. out from December through March), do you go back and update the previous year's log to reflect the total days out?","Yes. You must enter the number of calendar days away for the injury or illness on the OSHA 300 Log for the year in which the injury or illness occurred. If the employee is still away from work because of the injury or illness when you prepare the annual summary, estimate the total number of calendar days you expect the employee to be away from work, use this number to calculate the total for the annual summary, and then update the initial log entry later when the day count is known or reaches the 180-day cap."
"If an employee has missed work days due to injury and then has returns to work on restricted duty, do you record both the lost days and the restricted days on the 300 log?","Yes, enter both day counts.  Since days away are the most severe you would check column H and enter the number of days away in column K. When the employee returns on restricted duty you would enter the number of days in column L."
"If an employee has surgery for a work related injury and misses one day (not the date of the injury) for the surgery which was on a Friday and returns to work on Monday, is this a recordable case with days away from work?","Yes, the day of the surgery would be considered a day away from work. You begin counting calendar days on the day after the injury occurred. If you received information from the health care provider that the worker may return to work on Monday you would include Saturday and Sunday in your calendar day count as well."
"If an employee in my establishment is a contractor's employee, must I record an injury or illness occurring to that employee?","If the contractor's employee is under the day-to-day supervision of the contractor, the contractor is responsible for recording the injury or illness. If you supervise the contractor employee's work on a day-to-day basis, you must record the injury or illness."
"If an employee injures themselves and goes to see a physician the next day, is it considered a Lost Work Day because it is not the day the injury took place?","No, time missed seeking medical treatment is not counted as days away from work or days of restricted work activity if the employee is otherwise capable of performing all of his or her routine job functions."
"If an employee is admitted to the hospital for Carpal Tunnel surgery, is this reportable?","To be reportable, the in-patient hospitalization must occur within 24 hours of the work-related incident that injured or made the employee ill. Scheduled surgeries that occur beyond this 24 hour period are not reportable to OSHA."
"If an employee is exposed to chlorine or some other substance at work and oxygen is administered as a precautionary measure, is the case recordable?","If oxygen is administered as a purely precautionary measure to an employee who does not exhibit any symptoms of an injury or illness, the case is not recordable. If the employee exposed to a substance exhibits symptoms of an injury or illness, the administration of oxygen makes the case recordable."
"If an employee is given a prescription by the doctor, but does NOT use it, is it still considered medical treatment?","Yes, once the prescription medication is written by the physician it is considered medical treatment, even if the patient does not take the medication."
"If an employee is given antibiotics or antivirals after a possible communicable/infectious disease exposure, is it OSHA recordable regardless of seroconversion?","No. To be recordable on the OSHA log an injury or illness must exist. Exposures without signs or symptoms of the illness are not recordable, even if medical treatment is administered."
"If an employee is having surgery due to a work related injury, is the day of surgery considered a day away from work, or is that just time spent seeking medical treatment?",You must count the day of surgery as a day away from work if the date of surgery was subsequent to the date of injury and the employee was not physically able to perform work because of the surgery.
"If an employee is hospitalized as an in-patient and the only care or treatment provided is from OSHA's ""first aid list"" (for example if the only treatment is non-prescription medication), does the event become reportable?","Yes. A work-related in-patient hospitalization involving any treatment needs to be reported to OSHA. The reporting requirement in the regulatory text of section 1904.39 does not limit care or treatment to ""medical treatment beyond first aid."""
"If an employee is in an auto accident while commuting to work in a company vehicle, is this work-related?","No. Injuries incurred while commuting from work to home or from home to work are not considered work related, even if the vehicle is a company vehicle."
"If an employee is injured and accumulates 200 restricted days in the period from January to July then has 10 days away from work in August, how do I record the case?","Check column (H) to reflect the most serious outcome, days away from work. Place ""180"" in column (L) to reflect the days of restricted work activity that were first incurred. You may also choose to enter 1 day in the ""Days away from work"" column (K) to prevent confusion or computer related problems."
"If an employee is injured and is given a couple of days off by a doctor, but on that first day after seeing the doctor asks to be and is laid off, would that incident still be counted as a Days Away from Work Case?","You must record the case with at least one day away from work. If the employee leaves your company for some reason unrelated to the injury or illness you may stop counting days away from work or days of restriction/job transfer. If the employee leaves your company because of the injury or illness, you must estimate the total number of days away or days of restriction/job transfer and enter the day count on the 300 Log."
If an employee is injured in the year 2003 and is out of work into the year 2004...how do you record their lost work days/restricted duty days for the OSHA Log 2003?,"You must enter the number of calendar days away for the injury or illness on the OSHA 300 Log for the year in which the injury or illness occurred. If the employee is still away from work because of the injury or illness when you prepare the annual summary, estimate the total number of calendar days you expect the employee to be away from work, use this number to calculate the total for the annual summary, and then update the initial log entry later when the day count is known or reaches the 180-day cap."
"If an employee is injured, but the worker's compensation carrier denies the claim due to the injury being 'not in the scope of employment,' should the injury still be recorded on the OSHA 300 log?","When an injury or illness occurs to an employee, the employer must independently analyze the case in light of both the OSHA recording criteria and the requirements of the State workers' compensation system to determine whether the case is recordable or compensable, or both. Your case must be judged by the criteria of the OSHA recordkeeping rule to determine if it should be placed on the 300 Log. Workers Compensation is not a consideration of whether the case is OSHA recordable or not."
"If an employee is let go from a job based on poor job performance and after being let go comes back and says he was injured on the job, but there is no evidence an injury occurred. Is this considered an OSHA recordable?","If you determine that there was no work-related injury, you do not have to record the case. Under the OSHA recordkeeping system, the employer has the ultimate responsibility for making good-faith recordkeeping determinations regarding an injury and/or illness. Employers must decide if and how a particular case should be recorded and their decision must not be an arbitrary one."
If an employee leaves the company after experiencing a work-related injury or illness that results in days away from work and/or days of restricted work/job transfer how would an employer record the case?,"If the employee leaves the company for some reason(s) unrelated to the injury or illness, section 1904.7(b)(3)(viii) of the rule allows the employer to stop counting days away from work or days of restriction/job transfer. In order to stop a count the employer must first have a count to stop. Thus, the employer must count at least one day away from work or day of restriction/job transfer on the OSHA 300 Log. If the employee leaves the company for some reason(s) related to the injury or illness, section 1904.7(b)(3)(viii) of the rule directs the employer to make an estimate of the count of days away from work or days of restriction/job transfer expected for the particular type of case."
"If an employee loses his arm in a work-related accident and can never return to his job, how is the case recorded? Is the day count capped at 180 days?","If an employee never returns to work following a work-related injury, the employer must check the ""days away from work"" column, and enter an estimate of the number of days the employee would have required to recuperate from the injury, up to180 days."
"If an employee misses a day of work due to an injury which is not reported to the employer, nor are they assessed by a health care professional who recommends days of work, is this classified as a lost time injury?",The employee's decision does not determine the outcome for recordability. Nor is a medical opinion required in this situation. The employer must make a good faith decision as to whether the employee needed the day away from work for recuperation or not and record appropriately.
If an employee obtains an injury at work and the next day on there scheduled day off calls the employer and requests to be seen by a doctor and the doctor says they can return to full duty their first scheduled day back to work is this an OSHA recordable injury? In this case the employee did not miss a scheduled day off.,"You need to record a case of this type only if you receive information from a physician or other licensed health care professional indicating that the employee should not have worked, or should have performed only restricted work, during the scheduled time off. If so, you must record the injury or illness as a case with days away from work or restricted work, and enter the day counts, as appropriate."
"If an employee of a company is commuting from home to a local worksite in a company vehicle and becomes involved in a motor vehicle accident that results in a fatality of the employee, does the accident get recorded on the OSHA 300 log?","No. Injuries incurred while commuting from work to home or from home to work are not considered work related, even if the vehicle is a company vehicle."
"If an employee or representative asks for access to the OSHA 300 Log, when do I have to provide it?","When an employee, former employee, personal representative, or authorized employee representative asks for copies of your current or stored OSHA 300 Log(s) for an establishment the employee or former employee has worked in, you must give the requester a copy of the relevant OSHA 300 Log(s) by the end of the next business day."
"If an employee or representative asks for access to the OSHA 301 Incident Report, when do I have to provide it?","When an employee, former employee, or personal representative asks for a copy of the OSHA 301 Incident Report describing an injury or illness to that employee or former employee, you must give the requester a copy of the OSHA 301 Incident Report containing that information by the end of the next business day."
"If an employee presents a work status that indicates they are able to perform restricted work or light duty work yet we do not have work available that meets the restrictions, should we enter the number of days under ""On Job Transfer or Restriction"" or ""Away from Work?""","You must count the days as days away from work. To count days as restricted days, restricted work activity must be made available to the employee."
"If an employee receives a bee sting (or any other bug bite) at work and has an allergic reaction requiring prescription medication and/or days off work, is this considered a recordable injury?","Yes, this is a recordable injury. The bee sting is considered a work related injury because it occurred within the work environment. The prescription medication/days away make the case recordable."
"If an employee receives a RX from the doctor, but does not fill the RX, is it recordable based on the RX itself?","Once a doctor prescribes a prescription to an employee this becomes recordable, even if the employee does not fill the prescription."
"If an employee reports an injury or illness and receives medical treatment this year, but states that the symptoms first arose at some unspecified date last year, on which year's log do I record the case?","Ordinarily, the case should be recorded on the Log for the year in which the injury or illness occurred. Where the date of injury or illness cannot be determined, the date the employee reported the symptoms or received treatment must be used. In the case in question, the injury or illness would be recorded on this year's Log because the employee cannot specify the date when the symptoms occurred."
"If an employee returns to work after being off with an injury, but only returns for a 4 hr. day instead of their normal 8 hr. day how is this counted?",This would be counted as days of restricted work activity because the employee is working a partial shift.
"If an employee sees a doctor for a minor injury and receives an optional, one-time pain medication shot at prescription strength, is it considered a recordable?",Yes. Use of the prescription medication for a work related injury makes the case recordable.
"If an employee sends his supervisor a text message stating that he won't be coming in today due to his knee being sore from hurting it at work the day before, stays home and then returns to work the next day without seeing a physician, does the day he said he wasn't coming in count as Lost Time?",The employee's decision does not determine the outcome for recordability. Nor is a medical opinion required in this situation. The employer must make a good faith decision as to whether the employee needed the days away from work for recuperation or not and record appropriately.
"If an employee stays at work after normal work hours to prepare for the next day's tasks and is injured, is the case work-related? For example, if an employee stays after work to prepare air-sampling pumps and is injured, is the case work-related?","A case is work-related any time an event or exposure in the work environment either causes or contributes to an injury or illness or significantly aggravates a pre-existing injury or illness, unless one of the exceptions in section 1904.5(b)(2) applies. The work environment includes the establishment and other locations where one or more employees are working or are present as a condition of their employment. The case in question would be work-related if the employee was injured as a result of an event or exposure at work, regardless of whether the injury occurred after normal work hours."
"If an employee strikes his tooth on a pipe stand while performing a task and looses the cap from his tooth, and the dentist replaces it, is it a recordable case?","Replacement of a prosthetic device is not automatically recordable. The case is recordable if medical treatment, such as the use of prescription medication, is needed or if the case involves days away from work or restricted work activity."
"If an employee suffers a Standard Threshold Shift (STS) in only one ear, may the employer revise the baselines for both ears?","No. A Standard Threshold Shift, or STS, is defined in the occupational noise exposure standard at 29 CFR 1910.95(g)(10)(i) as a change in hearing threshold, relative to the baseline audiogram for that employee, of an average of 10 decibels (dB) or more at 2000, 3000, and 4000 hertz (Hz) in one or both ears. The employer is permitted only to revise the baseline in the ear where the employee suffered an STS change in hearing threshold."
"If an employee sustains a work related injury in 2002 and doesn't report it until 2003, which Log should the information be recorded on? Should it be recorded on the 2002 or the 2003 form?",The Injury or illness should be recorded in the year that the incident actually occurred. In this case 2002. You can go back and modify the log for that year and retain it in the files according to the retention regulations.
"If an employee sustains and injury while on a paid break period, is the injury work-related?",Break or pay status does not determine the outcome for recordkeeping. If the employee experienced an injury or illness in the work environment it would be considered work-related unless one of the work-related exceptions applied.
"If an employee voluntarily takes work home and is injured while working at home, is the case recordable?",No. Injuries and illnesses occurring in the home environment are only considered work-related if the employee is being paid or compensated for working at home and the injury or illness is directly related to the performance of the work rather than to the general home environment.
"If an employee was diagnosed with carpal tunnel syndrome and has no restrictions or lost time, would this be recorded on the OSHA log under illness?",Work related carpal tunnel syndrome is only recordable if it entails one or more of the following: medical treatment beyond first aid; days away from work; or days of restricted work activity or job transfer.
"If an employee was injured on the job at 2:00am on 8/5/13, would his Date of Injury be the date his shift started (8/4/2015) or the actual injury date of 8/5/13?",Use the actual date the employee was injured (8/5/2015).
"If an employee was not put on any type of restrictions by a doctor due to a job related injury, but the employer reassigns his/her duties as a precautionary measure, would it be recorded as a restricted duty incident on the 300 log?","Yes, if you assign restricted work activity to an injured or ill worker you must record the case on the Log as a restricted work activity case. The fact that the restriction was put in place for precautionary reasons is not a consideration of whether the case is OSHA recordable."
"If an employee who routinely works ten hours a day is restricted from working more than eight hours following a work-related injury, is the case recordable?","Generally, the employer must record any case in which an employee's work is restricted because of a work-related injury. A work restriction, as defined in section 1904.7(b)(4)(i)(A), occurs when the employer keeps the employee from performing one or more routine functions of the job, or from working the full workday the employee would otherwise have been scheduled to work. The case in question is recordable if the employee would have worked 10 hours had he or she not been injured."
"If an employee who sustains a work-related injury requiring days away from work is terminated for drug use based on the results of a post-accident drug test, how is the case recorded? May the employer stop the day count upon termination of the employee for drug use under section 1904.7(b)(3) (viii)?","Under section 1904.7(b)(3)(viii), the employer may stop counting days away from work if an employee who is away from work because of an injury or illness leaves the company for some reason unrelated to the injury or illness, such as retirement or a plant closing. However, when the employer conducts a drug test based on the occurrence of an accident resulting in an injury at work and subsequently terminates the injured employee, the termination is related to the injury. Therefore, the employer must estimate the number of days that the employee would have been away from work due to the injury and enter that number on the 300 Log."
"If an employee with a recordable work related injury is released to restricted work but the level of restrictions results in no available modified work with the employer, is the time the employee remains out considered days away versus restricted work activity, or since they are released to work at a severely modified level where modified work is not available is it just counted as restricted time?","You must count the days as days away from work. To count days as restricted days, restricted work activity must be made available to the employee."
"If an employee with a work related injury goes to a chiropractor and receives an ""adjustment"" procedure, is this considered ""medical treatment"" under the recordkeeping requirements?","Yes, a chiropractic adjustment procedure is considered medical treatment for OSHA recordkeeping purposes."
"If an employee with a work related injury goes to the hospital and gets stitches, would that be considered a recordable case?",Yes. Sutures are considered medical treatment for OSHA injury and illness recordkeeping purposes.
"If an employee works for a U.S. based company but travels to the Bahamas to do work on behalf of their employer and is injured, is that injury recordable?","Since the injury occurred outside the jurisdictional boundaries of the United States, this is not a recordable injury. The Occupational Safety and Health Act, and therefore the 29 CFR Part 1904 OSHA Recordkeeping Regulation, apply only within the jurisdictional boundaries of the United States and certain locations listed in Section 4(a), 29 USC §653(a) of the Act."
"If an employee works for one of my establishments, but is injured at another of my establishments, the recordable goes on the log of the location where it occurred. How do I account for hours worked in these situations?","When employees work in multiple establishments of the same business, each location can count the employees' hours worked at their establishment towards their total. However, be careful not to double count the employees' hours."
"If an employee's pre-existing medical condition causes an incident which results in a subsequent injury, is the case work-related? For example, if an employee suffers an epileptic seizure, falls, and breaks his arm, is the case covered by the exception in section 1904.5(b)(2)(ii)?","Neither the seizures nor the broken arm are recordable. Injuries and illnesses that result solely from non-work-related events or exposures are not recordable under the exception in section 1904.5(b)(2)(ii). Epileptic seizures are a symptom of a disease of non-occupational origin, and the fact that they occur at work does not make them work-related. Because epileptic seizures are not work-related, injuries resulting solely from the seizures, such as the broken arm in the case in question, are not recordable."
"If an employee, while at work, aggravates a pre-existing condition/injury that was not received in the workplace and receives steroid shots for the pain, even though the employee was already receiving steroid shots for the pre-existing injury, is this a recordable injury?","A preexisting injury or illness has been significantly aggravated, for purposes of OSHA injury and illness recordkeeping, when an event or exposure in the work environment results in a change in medical treatment. If the employee would have received the steroid shot regardless of the aggravation, the case is not recordable. On the other hand, if the employee received the steroid shot because of the aggravation, the case is recordable."
"If an employer has no recordable cases for the year, is an OSHA 300-A, Annual Summary, still required to be completed, certified and posted?","Yes. After the end of the year, employers must review the Log to verify its accuracy, summarize the 300 Log information on the 300A summary form, and certify the summary (a company executive must sign the certification). This information must then be posted for three months, from February 1 to April 30."
"If an injured employee is given a restriction ""Use as tolerated"" or ""Keep injured area clean, dry and covered"", would that injury be recorded as involving days of restriction on the OSHA 300 Log?","Not necessarily. A recommended work restriction is recordable only if it affects one or more of the employee's routine job functions. To determine whether this is the case, you must evaluate the restriction in light of the routine functions of the injured or ill employee's job. If the restriction from you or the physician or other licensed health care professional keeps the employee from performing one or more of his or her routine job functions, or from working the full workday the injured or ill employee would otherwise have worked, the employee's work has been restricted and you must record the case."
If an injured employee is given samples by a doctor but is not given a prescription is this considered medical treatment?,"If the samples given are a prescription medication or are at prescription strength, then it is a medical treatment."
"If an injured worker is formally admitted to the Emergency Room of a hospital, is this a reportable event?","No, the injured worker must be formally admitted to the in-patient service of the hospital to be a reportable event."
"If an injury is recordable with restricted time assigned by a physician, (released to return to work the following day, with restrictions) and the employee decides to miss work due to the injury, am I required to change my OSHA log to reflect a day away?","In this situation, you must count days of restricted work activity as assigned by the physician or other licensed health care professional."
"If an injury occurred in 2002 but days were lost in 2003, how would that be recorded?","You only record the injury or illness once on the log in the year which it occurred. If the employee is still away from work because of the injury or illness when you prepare the annual summary, estimate the total number of calendar days you expect the employee to be away from work, use this number to calculate the total for the annual summary, and then update the initial log entry later when the day count is known or reaches the 180-day cap."
"If employees have a home office that they work from part or most of the time, are they required to complete the annual Form 300?","No, for employees who telecommute from home, the employee's home is not a business establishment and a separate 300 Log is not required.  Recordable injuries and illnesses that occur at the employee's home should be recorded on the Log of the establishment the employee is linked to."
"If employers electronically post the OSHA 300-A Summary of Work-related Injuries and Illnesses, are they in compliance with the posting requirements of 1904.32 (b) (5)?","No. The recordkeeping rule allows all forms to be kept on computer equipment or at an alternate location, as long as the employer can produce the data when needed. Section 1904.32 (b) (5), requires employers to post a copy of the Annual Summary in each establishment, where notices are normally posted [see 1903.2(a)], no later than February 1 of the year following the year covered by the records and kept in place until April 30. Only the OSHA 300-A Summary form should be posted."
"If glue is used to close a wound, is it considered medical treatment or first aid?",The use of surgical glue to close a wound is considered medical treatment.
"If I get a survey form from the BLS, what do I have to do?","If you receive a Survey of Occupational Injuries and Illnesses Form from the Bureau of Labor Statistics (BLS), or a BLS designee, you must promptly complete the form and return it, following the instructions contained on the survey form."
"If I had 1 work-related accident but 2 employees were injured, does this get recorded as one or two cases on the OSHA Log?","OSHA's Recordkeeping system tracks work-related recordable injuries and illnesses. If both injuries meet the general recording criteria of Section 1904.7 or the application to specific criteria of Section 1904.8 through Section 1904.11, both cases should be recorded on the Log as two separate cases."
"If I have an employee had lacerations to his hand requiring stitches, would that be an ""other"" recordable case?","Yes. A work related injury requiring stitches must be recorded on the OSHA 300 Log. If the injury did not involve one or more days away from work, one or more days of restricted work, or one or more days of job transfer, you enter a check mark in column J."
"If I have an employee who has a work related incident and the only note from the attending physician is to ""keep the wound clean/dry/covered"", is this considered a restriction and therefore recordable on the 300 Log?","You need to determine if this limitation prevents the employee from performing one or more of his routine job functions. If the employee is unable to perform all of his routine job functions without keeping the wound clean, dry, and covered, then the case involves restricted work activity. If the employee is able to perform all of his routine job functions while keeping the wound clean, dry, and covered then the case does not involve restricted work activity."
"If I have no work related injuries or illnesses in a calendar year, do I still need to complete a form 300 log?","You do not need a completed Form 300. However even if your establishment did not have any OSHA recordable injuries or illnesses, you must still enter zeroes in the total columns on the OSHA form 300A and post the form from February through April."
"If I obtain employees from a temporary help service, employee leasing service, or personnel supply service, do I have to record an injury or illness occurring to one of those employees?",You must record these injuries and illnesses if you supervise these employees on a day-to-day basis.
"If I record an injury and the employee is later diagnosed with an infectious bloodborne disease, do I need to update the OSHA 300 Log?","Yes, you must update the classification of the case on the OSHA 300 Log if the case results in death, days away from work, restricted work, or job transfer. You must also update the description to identify the infectious disease and change the classification"
"If my employee spent the night at the hospital, do I have to report an in-patient hospitalization?",OSHA defines in-patient hospitalization as a formal admission to the in-patient service of a hospital or clinic for care or treatment. An overnight stay does not determine whether the case is reportable or not.
"If my establishment is selected to respond to the Bureau of Labor Statistics' Annual Survey, do I have to give the same information to both Agencies?","OSHA and the BLS are working to identify and minimize the burden on employers that are required to respond to both data collections. However, at this time you will need to provide both agencies with the required data through their separate collection vehicles."
If our company has multiple offices in multiple states does each office have to maintain an OSHA 300 Log or should one log for all locations be kept at the Corporate office only?,"You must keep a separate OSHA 300 log for each establishment that is expected to be in operation for one year or longer. You may keep the records for an establishment at your headquarters or other central location if you can: (i) Transmit information about the injuries and illnesses from the establishment to the central location within seven (7) calendar days of receiving information that a recordable injury or illness has occurred; and (ii) Produce and send the records from the central location to the establishment within the time frames required by 1904.35 and 1904.40 when you are required to provide records to a government representative, employees, former employees or employee representatives."
If recording a death do you have to put in the maximum of 180 days away from work in column K?,No. No days away should be entered for a fatality.
"If someone is placed on job transfer or restricted duty, and you can accommodate this light duty only a few days a week, are the other days automatically considered days away from work?","Yes, if you can only accommodate this light duty for a few days a week, the other days are considered days away from work."
"If the Area Office is closed, may I report the fatality, in-patient hospitalization, amputation, or loss of an eye by leaving a message on OSHA's answering machine, faxing the Area Office, or sending an email?","No, if the Area Office is closed, you must report the fatality, in-patient hospitalization, amputation, or loss of an eye using either the 800 number or the reporting application located on OSHA's public Web site atwww.osha.gov."
If the business has multiple locations can the injury & illness recording & reporting form 300 be kept as one large record at the main office or must a form be kept at each location?,"You must have separate records that pertain to each establishment. You may keep the records for an establishment at your headquarters or other central location if you can: (i) Transmit information about the injuries and illnesses from the establishment to the central location within seven (7) calendar days of receiving information that a recordable injury or illness has occurred; and (ii) Produce and send the records from the central location to the establishment within the time frames required by § 1904.35 and § 1904.40 when you are required to provide records to a government representative, employees, former employees or employee representatives."
"If the injured or ill worker produces fewer goods or services than he or she would have produced prior to the injury or illness but otherwise perform all of the routine functions of his or her work, is the case considered a restricted work case?","No, the case is considered restricted work only if the worker does not perform all of the routine functions of his or her job or does not work the full shift that he or she would otherwise have worked."
If there was baby powder on the floor of the ladies restroom at work and someone falls onto the floor due to the baby powder is the incident considered work-related?,"Yes, this case is work-related because it resulted from an event in the work environment."
"If there were no-work related injuries during the year, do I still need to prepare and post a 300-A with no entries on it?","Yes, you still must post the annual summary 300A and enter zeroes for the column totals."
"If we have a contract person working at our site and that person suffers a recordable injury while working, does their employer record the injury on their OSHA 300 log or do we record it on ours?","If the contractor's employee is under the day-to-day supervision of the contractor, the contractor is responsible for recording the injury or illness. If you supervise the contractor employee's work on a day-to-day basis, you must record the injury or illness."
If we have multiple locations - do we keep the OSHA 300 log separately at each location or maintain one log at the main office?,You must keep a separate OSHA 300 Log for each establishment that is expected to be in operation for one year or longer.
"If we submit an workplace injury form to our WC carrier and the injury is DENIED as a workers' comp injury by our carrier, do we still count that injury on our 300 form or do we disregard it?","When an injury or illness occurs to an employee, the employer must independently analyze the case in light of both the OSHA recording criteria and the requirements of the State workers' compensation system to determine whether the case is recordable or compensable, or both. Your case must be judged by the criteria of the OSHA recordkeeping rule to determine if it should be placed on the 300 Log. Workers Compensation is not a consideration of whether the case is OSHA recordable or not."
If you have an injury at work and the employer pays for all the cost without turning this into workers compensation do you have to report the accident on the OSHA log?,"If the injury meets the OSHA recording criteria, you must record it on the OSHA Log regardless of filing for workers compensation. OSHA's recordkeeping requirements and the workers compensation system are two independent systems."
"If you or a physician or other licensed health care professional recommends a work restriction, is the injury or illness automatically recordable as a ""restricted work"" case?","No, a recommended work restriction is recordable only if it affects one or more of the employee's routine job functions. To determine whether this is the case, you must evaluate the restriction in light of the routine functions of the injured or ill employee's job. If the restriction from you or the physician or other licensed health care professional keeps the employee from performing one or more of his or her routine job functions, or from working the full workday the injured or ill employee would otherwise have worked, the employee's work has been restricted and you must record the case."
"In a case where the employee is working restricted duty, and takes days off for personal reasons, do we still include those days in our total? This employee is working modified duty through his next doctor's appointment which falls after the allotted vacation time.","Yes, in this situation you would include the vacation days taken in the day count. You must include all calendar days until the date the physician or other licensed health care professional recommends that the employee return to work."
"In the event that an employee has a known allergy (e.g. pet dander) and is exposed to the allergen in the work place, then wouldn't it be considered a new recordable event each time the employee had to administer injections or use a prescription inhaler?","Yes, each work related exposure resulting in symptoms requiring the prescription inhaler would be considered a new recordable case."
Injuries that lead to a days away from work resulted from a dispute between workers inside the company. Is this case recordable?,Yes. An injury is work-related if it occurs in the work environment unless it meets one of the exceptions listed under 1904.5(b)(2).  Injuries resulting from horseplay or workplace violence are not subject to any of the listed exceptions to work relatedness.
"Is ""Total hours worked by all employees"" on the Form 300A actual work time after leave deductions?","Yes, this figure should reflect the actual number of hours worked by employees. Include hours worked by salaried, hourly, part-time and seasonal workers, as well as hours worked by other workers subject to day to day supervision by your establishment (e.g., temporary help services workers). Do not include vacation, sick leave, holidays, or any other non-work time, even if employees were paid for it. If your establishment keeps records of only the hours paid or if you have employees who are not paid by the hour, please estimate the hours that the employees actually worked."
Is a broken nose considered recordable? Is there a difference if its only cartilage that was broken or if the nasal bone was broken?,"Broken cartilage is not considered a ""significant"" diagnosed injury and does not meet the automatic recording criteria under 1904.7(b) (7). However, once the injured worker receives medical treatment, then this injury would be recordable. Realignment of the cartilage is considered medical treatment beyond first aid.  A broken nasal bone is considered a ""significant"" injury under 1904.7(b) (7) and is recordable regardless of treatment provided."
Is a case considered work related if an employee is involved in an auto accident during their commute home if they are using company provided transportation?,No. This case would not be considered work related because the employee was commuting to home after work. It does not matter that the transportation is company provided.
Is a ganglion cyst diagnosis in the wrist considered a recordable injury?,"A work related ganglion cyst is recordable if the case involves medical treatment beyond first aid, days away from work, restricted work activity, or job transfer."
Is a scanned image of a company executive's signature acceptable on the Annual summary for posting?,"Yes, a scanned or electronic signature may be used by a company executive on the OSHA summary form."
Is an arm sling considered first aid (a non-rigid means of support)?,Yes. A non-rigid means of support is considered first aid.
Is an injury resulting from workplace violence work-related recordable?,Yes. Injuries resulting from work-place violence are considered work-related.
Is Dermabond (cyanoacrylate) considered first aid or Medical treatment when used in place of sutures in wound closure?,Dermabond is a surgical glue and is considered Medical Treatment.
Is every work-related injury or illness case involving a loss of consciousness recordable?,"Yes, you must record a work-related injury or illness if the worker become unconscious, regardless of the length of time the employee remains unconscious."
Is giving a one time dose of injectable medication considered medical treatment or first aid?,"If the medication is prescription medication, it is medical treatment. If it is over-the-counter medication (at non-prescription strength), it is first aid."
Is it necessary to fill out the OSHA 301 form when a First Report of Injury is filled out and submitted to our insurance company?,"The worker's compensation form is sufficient if it is equivalent to the OSHA 301 form. An equivalent form is one that has the same information, is as readable and understandable, and is completed using the same instructions as the OSHA form it replaces. Many employers use an insurance form instead of the OSHA 301 Incident Report, or supplement an insurance form by adding any additional information required by OSHA."
Is the body part required in the OSHA Form 300? The program that we use to generate our OSHA Form 300 does not include the body part in the description field. Is this okay?,"No. The instruction for column F on OSHA form 300 requires part of body. To be considered an equivalent form, the substitute form must contain all of the information on the OSHA form, or be supplemented with the missing information."
Is the employer subject to a citation for violating section 1904.7(b)(4) (viii) if an employee fails to follow a recommended work restriction?,"Section 1904.7(b) (4)(viii) deals with the recordability of cases in which a physician or other health care professional has recommended a work restriction. The section also states that the employer ""should ensure that the employee complies with the [recommended] restriction."" This language is purely advisory and does not impose an enforceable duty upon employers to ensure that employees comply with the recommended restriction. [Note: In the absence of conflicting opinions from two or more health care professionals, the employer ordinarily must record the case if a health care professional recommends a work restriction involving the employee's routine job functions.]"
